original_index,original_guide,related_index_1,related_index_2,related_index_3,related_index_4,related_index_5
48,"a finger or toe suddenly becomes cold, pale or blue and painful",431,405,,,
49,a flexible supply line under a sink starts spraying or dripping rapidly,866,858,,,
50,a floor area suddenly feels soft or springy and you worry it could give way,172,452,,,
51,a floor drain cover is lifting or rattling during heavy rain,202,133,,,
52,a former employer is contacting your new workplace without warning,593,824,,,
53,a free trial turns into an unexpected subscription charge,305,168,,,
54,a freelance platform suspends your account while you have active work in progress,338,524,,,
55,a friend seems suddenly disoriented or drugged at a social event and you fear they are unsafe,697,218,,,
56,a friend tells you they were sexually assaulted and you do not know what to do first,307,308,,,
57,a funeral home says paperwork is missing and a service cannot proceed today,445,428,,,
58,a funeral provider says a body must be moved today due to capacity limits,350,625,,,
59,a garage ceiling or roof structure is sagging and you are unsure if it is safe,546,569,,,
60,a gas appliance keeps going out and you suspect a leak or unsafe ventilation,14,839,,,
61,a government agency contacts you demanding information and you are unsure what to provide,312,654,,,
62,a group leader or organiser sends you unwanted sexual messages,206,135,,,
63,a hospice provider cannot start support because of missing or incomplete paperwork,315,67,,,
64,a hospital asks for an advance directive or living will and you cannot find it,287,380,,,
65,a hospital asks you to come in urgently to discuss end-of-life decisions for a relative,287,282,175,,
66,a hospital asks you to identify a deceased relative,267,292,,,
67,a hospital is discharging a dying relative and you have no care plan at home,315,63,,,
68,a job or work opportunity communication turns sexual or inappropriate,160,291,,,
69,a joint account holder changes your account settings without your knowledge,803,716,,,
70,a key snaps in the lock and you cannot lock or unlock the door,324,141,,,
71,a lab or clinic travel certificate has the wrong name or date of birth,422,774,,,
72,a landlord demands immediate access to a home after a tenant dies,277,691,,,
73,a landlord or contractor demands immediate payment for late fees you cannot verify,74,634,,,
74,a landlord or supplier sends unexpected new bank details for a payment,134,721,,,
75,a lawyer or claims company contacts you after a death and you are unsure whether to respond,182,299,,,
76,a leak from the unit above is damaging your home and the responsible party is not responding,184,671,,,
77,a lender or subscription service pulls more money than you authorised from your account,803,98,,,
78,a long-distance bus or coach breaks down and you are left waiting without clear instructions,940,132,,,
79,a loved one has died in another city and you need to travel urgently,517,842,,,
80,a loved one is missing and you have no contact or confirmation,314,382,,,
81,a manager asks you for detailed medical information,867,353,,,
82,a manager or supervisor makes you feel uncomfortable or unsafe during one-to-one meetings,30,336,,,
83,a medical provider threatens to pause your care unless you pay an unexpected balance,854,823,,,
84,a memorial or funeral service venue withdraws permission at the last minute,358,334,,,
85,a memory card is unreadable on multiple devices and you need the photos,249,834,,,
86,a merchant threatens to send a charge to collections unless you pay immediately,6,40,,,
87,a messaging app fails to restore your chat backup and your messages are missing,894,784,,,
88,a money transfer recipient cannot collect because of a name mismatch,721,142,,,
89,a neighbour is threatening you or repeatedly knocking on your door,510,666,,,
90,a neighbour repeatedly makes unwanted sexual comments and you feel unsafe or worried they may escalate,219,89,,,
91,a new crack appears in a wall or ceiling and seems to be widening,3,158,,,
92,a partner insists on recording sex and becomes angry when you refuse,224,425,,,
93,a partner keeps waking you up for sex and you feel unsafe,215,233,,,
94,a partner pressures you to drink or take substances against your will,697,692,,,
95,a partner pressures you to share your phone passcode and becomes hostile when you refuse,228,701,,,
96,a password manager shows unexpected vault changes or missing entries,888,711,,,
97,a payment arrangement has been cancelled and the full balance is due,34,617,,,
98,a pending transaction disappears and then reappears for a higher amount,77,552,,,
99,a person claims to be a tow operator for your vehicle but you did not request service,662,614,,,
100,a person dies while separated from their partner and family members are fighting over arrangements,210,418,176,,
101,a person you care about is transferred to another detention facility with little notice,607,229,,,
102,a power line has fallen onto your property and you are inside,966,506,,,
103,a professional appointment feels sexualised or unsafe and you want to leave,438,135,,,
104,a radiator or heating pipe starts leaking water onto the floor,738,866,,,
105,a recruiter asks you to start work before you have a signed contract,875,291,,,
106,a reduced power or drivetrain warning appears and you have pulled over safely,907,953,,,
107,a regulator or official asks you to provide passwords or passcodes during an inquiry,193,192,,,
108,a relative in hospice is near death or may have died,349,65,,,
109,a rental car company offers a different vehicle type and you do not feel safe driving it,110,391,,,
110,a rental vehicle shows a dashboard warning you do not understand before you leave the lot,109,391,,,
111,a restaurant tip adjustment posts days later and pushes your account into overdraft,719,98,,,
112,a retailer contacts you about a high-value order you did not place,643,667,,,
113,a retaining wall develops a fresh horizontal crack and starts seeping water,3,563,,,
114,a rideshare driver or car does not match your app details,319,115,,,
115,a rideshare or taxi driver makes sexual comments and you feel trapped or unsafe,319,114,,,
116,a service says your account is under review and you fear losing access to stored data,776,322,,,
117,a service worker or contractor makes sexual comments and you still need access to your home,859,103,,,
118,a shared bike or scooter won’t unlock even though the app shows your trip has started,13,12,,,
119,a shared folder suddenly appears on your computer and starts syncing unknown files,778,690,,,
120,a sink or bathtub backs up and dirty water starts rising,181,137,,,
121,a skylight or roof window frame is visibly loose and bad weather is forecast,451,141,,,
122,a smoke alarm goes off but you cannot find any smoke or heat,749,151,,,
123,a spouse with dementia keeps asking for their partner who has died,15,935,,,
124,a staffing agency changes your assignment end date with little explanation,338,345,,,
125,"a stair tread, landing, or handrail suddenly feels loose and unsafe to use",50,908,,,
126,a station or stop closes suddenly and you need an accessible route to continue your journey,239,240,359,,
127,a stranger claims you damaged their car and insists you move to a quieter location,204,221,,,
128,a stranger in a public venue asks you to go to a private area and you feel uneasy,230,211,,,
129,a stranger insists on helping with your luggage and will not take no for an answer,693,216,,,
130,a stranger is pressuring you to scan a QR code or click a link in public,574,729,,,
131,a stranger pressures you to reveal your phone number in person,216,231,,,
132,a strike or travel disruption is announced while you are en route and you may be stranded,379,940,,,
133,a sump pump alarm sounds and water is rising in your basement,450,237,,,
134,a supplier asks you to change payment details to wire or crypto,74,721,,,
135,"a therapist, counsellor, or support worker sends you sexual or inappropriate messages",438,103,,,
136,a tire pressure warning light comes on and you have pulled over to check it,947,420,,,
137,a toilet keeps refilling or overflowing and you cannot stop it,120,181,,,
138,a USB drive suddenly appears empty or asks to be formatted,249,834,,,
139,a vehicle or storage unit linked to someone who died is at risk of being towed or cleared,277,691,,,
140,a wasp or hornet nest is forming near a door or window you need to use,441,454,,,
141,a window will not close and cold air or rain is coming in,246,121,,,
142,a wire transfer you sent is marked pending and you need to stop it,552,1,,,
143,airport Wi-Fi requires a local phone number and you cannot access your travel documents,897,323,,,
144,an ABS or traction-control warning light appears while you are driving in poor weather,8,741,,,
145,an accommodation asks to keep your passport overnight and you feel uncomfortable,944,296,,,
146,an after-school program will not release your child after a parent has died,278,545,,,
147,an airbag or SRS warning light comes on before you drive,806,110,,,
148,an airline or border app requires a face scan and your phone camera is not working,183,897,,,
149,"an app has camera, microphone, or location permissions you do not remember approving",923,799,,,
150,an app update signs you out and your downloaded content or offline data is missing,388,87,,,
151,an appliance makes a loud popping sound and smells like it is burning,157,562,,,
152,"an aquarium, waterbed, or large container is leaking and causing water damage",957,245,,,
153,an ATM keeps your card and you are left without payment options,17,383,,,
154,an authority demands you hand over property and you disagree with the request,613,614,,,
155,an automatic bill payment fails and you receive an urgent late notice,653,1,,,
156,an ex keeps sending unwanted sexual messages from new accounts after you have blocked them,38,659,,,
157,"an extension cord or power strip is hot, soft, melting, or discoloured",151,506,,,
158,an exterior wall shows a new bulge or bowing section,3,91,,,
159,an insurance payment was applied to the wrong policy and your coverage is at risk,854,823,,,
160,an interviewer or recruiter asks sexual or inappropriate personal questions,68,30,,,
161,an investigator calls and asks you to clear something up by phone immediately,190,164,,,
162,an investigator shows up at your workplace asking questions about you,313,316,,,
163,an officer asks for your name and address and you are unsure what to say,187,357,,,
164,an official investigator contacts you and demands you keep it secret,161,370,,,
165,an oil pressure warning light appears while you are driving,665,676,,,
166,an operating system update locks you out of your device,801,797,,,
167,an unexpected mobile bill or roaming charge triggers an automatic payment you cannot afford,719,723,,,
168,an unexpected subscription renewal has overdrawn your bank account,305,719,,,
169,an unfamiliar animal bites you and the skin is broken,440,454,,,
170,an unfamiliar authorized user appears on your credit account,426,790,,,
171,an unknown browser extension appears and you cannot remove it,745,744,,,
172,an upstairs floor is bowing or sagging and you suspect water damage,50,184,,,
173,customs or border officials have held an item you need for your trip,260,466,,,
174,essential services are in the name of a person who died and shutoff notices may be coming,2,638,,,
175,family members are giving doctors conflicting instructions during an end-of-life situation,380,287,,,
176,family members disagree about where ashes should go and decisions are being pushed quickly,100,418,,,
177,family members disagree on the wording for a headstone or grave marker,176,272,,,
178,HR is ignoring your reports of repeated unwanted behaviour at work and the situation is escalating,973,336,,,
179,interior doors suddenly start sticking and you suspect structural movement or swelling,91,172,,,
180,mail or funds you sent to someone in custody were rejected,598,607,,,
181,multiple drains are gurgling and your home smells like sewage,202,120,,,
182,officials contact you about a deceased person’s legal case and request urgent information,661,299,,,
183,online check-in is blocked and you need manual document verification,148,887,,,
184,part of your ceiling starts sagging after a leak,76,186,,,
185,people are arriving at your home after a death and you need privacy and boundaries,328,538,,,
186,plaster or drywall begins crumbling or falling from your ceiling,184,546,,,
187,police arrive at your home and you are unsure why,200,163,,,
188,"police ask for access to your vehicle data, dashcam, or connected car app",624,189,,,
189,police ask to search your car and you want to know your options,188,613,,,
190,"police ask you to come in for an interview, photograph, or recording",161,196,,,
191,police ask you to come to the station to collect property and you are unsure why,194,284,,,
192,police ask you to consent to access your cloud backups or online accounts,193,586,,,
193,police ask you to hand over passwords or account logins,192,107,,,
194,police ask you to identify property and you feel uneasy or suspicious,191,284,,,
195,police ask you to meet them to sign paperwork but will not explain what it is,190,604,,,
196,police ask you to provide an alibi for someone and you feel pressured to answer quickly,190,199,,,
197,police ask you to provide bank statements or transaction records on short notice,586,624,,,
198,police contact you about a death and you are not sure what to say,45,39,,,
199,police contact you about someone else and ask for their location,314,196,,,
200,police say they have a warrant and are asking you to open the door,187,613,,,
201,relatives are staying with you after a death and family tensions are rising,203,185,,,
202,sewage starts coming up through a floor drain but has not reached living areas yet,181,51,,,
203,siblings are arguing or reacting differently after a death and you need to manage the tension,201,176,,,
204,someone approaches your car at a fuel pump and tries to distract you,127,669,,,
205,someone asks you to send a photo of your ID during a sexual conversation,209,688,,,
206,someone at your gym or class keeps sexualising you and will not stop after you disengage,62,219,,,
207,someone calls claiming your bank will send a courier to collect your card,674,729,,,
208,someone claiming to represent the person who harmed you pressures you to respond,341,308,,,
209,someone claims they are underage after sending explicit images and now demands money or favours,339,636,,,
210,someone claims to be a partner after a death and demands access to information or plans,100,691,,,
211,someone follows you to an elevator and you feel unsafe getting in with them,699,231,,,
212,someone has reposted your photos with your location without your consent,44,571,,,
213,someone in a group chat is making unwanted sexual comments and others are joining in,514,62,,,
214,someone in custody is being released soon and they have nowhere to stay,229,598,,,
215,someone insists you consented to sex but you remember saying no,307,308,,,
216,someone is pressuring you to reveal where you live or where you are staying,225,131,,,
217,someone is trying multiple doors in your hotel or apartment corridor,666,509,,,
218,someone is trying to isolate you or make you feel unsafe during a night out,55,697,,,
219,someone keeps appearing where you go and making unwanted sexual comments,699,659,,,
220,someone keeps pressuring you for a ride home after you have said no,221,232,,,
221,someone keeps pressuring you to get into their car to talk privately,220,234,,,
222,someone may have swallowed a button battery and they seem fine so far,772,704,,,
223,someone near you is acting aggressively or erratically and you feel unsafe,439,233,,,
224,someone pressures you to sign a consent or release form for intimate filming you did not expect,92,425,,,
225,someone repeatedly asks for your home address after sexual chatting and you feel pressured to share it,216,205,,,
226,someone threatens to make false sexual allegations against you to force your compliance,227,636,,,
227,someone threatens to spread false claims about consent unless you stay silent,226,215,,,
228,someone tries to take your phone or pressures you to hand it over,95,701,,,
229,someone you care about is taken into custody and you need to arrange support or collect belongings,214,101,,,
230,someone you do not trust pressures you to meet privately,128,597,,,
231,someone you just met follows you and will not take no for an answer,699,211,,,
232,someone you just met is pressuring you for your address or a ride home,220,216,,,
233,someone you know becomes aggressive during a conversation and you feel unsafe,37,223,,,
234,someone you know is pressuring you to go somewhere private in public,128,221,,,
235,someone you met online pressures you to meet in private and refuses public places,230,597,,,
236,someone you rely on for care makes sexual comments and you fear retaliation,135,438,,,
237,stormwater is pooling against your foundation and rising toward entry points,133,450,,,
238,the clutch pedal feels abnormal or stuck before you start driving,868,761,,,
239,the only elevator or lift at a station is out of service and you are stuck,126,359,,,
240,the only entrance to a station or terminal closes suddenly and you need an alternative route inside,126,379,,,
241,the person listed as a medical contact cannot be reached during urgent treatment decisions,380,287,,,
242,the toilet base is wet and you suspect it is leaking into the floor,452,958,,,
243,there is no confirmed cause of death yet and people are asking for details,39,518,,,
244,water is bubbling up from the ground in your garden or driveway,247,958,,,
245,water is leaking from your shower or bathtub and spreading quickly,926,866,,,
246,water is leaking in around a window or door during a storm,141,451,,,
247,water is running from an outside pipe and will not stop,866,958,,,
248,water starts leaking from your refrigerator or freezer and you cannot find the source,843,858,,,
249,you accidentally format a memory card containing irreplaceable photos,85,251,,,
250,you accidentally pay a bill twice and it leaves you short for essentials,719,77,,,
251,you accidentally permanently delete an important folder and need to recover it today,913,570,,,
252,you accidentally put the wrong fuel in your vehicle and have not started the engine,663,755,,,
253,you accidentally take someone else’s prescription medication,576,577,,,
254,you accidentally triggered a panic alarm or emergency SOS alert,628,639,,,
255,you are a friend of someone who has died with no known family and you are being pressured to take responsibility,299,428,,,
256,you are abroad and cannot get a police report for a stolen document,886,540,,,
257,you are accused of time fraud or timesheet discrepancies at work,589,346,,,
258,you are asked about organ or tissue donation and feel unprepared to decide,65,282,,,
259,you are asked for a certified translation of a travel document and you do not have one,279,384,,,
260,you are asked for a customs reference number and cannot find the confirmation,173,466,,,
261,you are asked for a local address for entry and you do not have one you can document,269,263,,,
262,you are asked for biometric information at a border or for travel and feel unprepared,148,337,,,
263,you are asked for local registration proof and you do not have it,366,261,,,
264,you are asked for multiple certified copies of a death certificate and do not know why,445,299,,,
265,you are asked for parental consent paperwork to travel with a child and you do not have it,774,708,,,
266,you are asked for passport details to reissue a ticket and your passport is not accessible,578,575,,,
267,you are asked for photos or dental information to help identify a deceased person,66,292,,,
268,you are asked for proof of a name change for travel and cannot access the document,422,384,,,
269,you are asked for proof of accommodation for your full stay and have gaps in your bookings,261,707,,,
270,you are asked for proof of funds or payment means at the border and cannot access them,722,384,,,
271,you are asked for proof of travel insurance and cannot find your policy documents,897,323,,,
272,you are asked to approve a public death notice or obituary and you fear it will cause conflict,301,302,,,
273,you are asked to approve time records for others when you cannot verify them,257,275,,,
274,you are asked to authorise a cremation but are unsure if you have the legal right,303,335,,,
275,you are asked to be a witness in an internal workplace investigation,313,356,,,
276,you are asked to choose personal items for a burial or cremation and feel overwhelmed,293,335,,,
277,you are asked to clear a home after someone dies and are worried about losing evidence,691,447,,,
278,you are asked to collect a child after a parent has died and the other caregiver is unreachable,146,29,,,
279,you are asked to complete an official form or declaration in a language you cannot read,259,654,,,
280,you are asked to consent to an autopsy and feel overwhelmed,39,243,,,
281,you are asked to decide about donating a loved one’s body to medical science with little time,7,335,,,
282,you are asked to decide about moving a relative to comfort-focused care and you feel unprepared,65,287,,,
283,you are asked to declare cash or valuables at customs and are unsure what to report,173,864,,,
284,you are asked to identify personal items for return but are unsure what belongs to whom,194,191,,,
285,you are asked to identify someone in a photo lineup or video and you are not confident,190,196,,,
286,you are asked to leave a crowded bus or train because it is at capacity,940,379,,,
287,you are asked to make medical decisions for a relative who cannot communicate their wishes,380,64,,,
288,you are asked to notify a school community about a death and fear backlash or blame,539,272,,,
289,you are asked to pay a funeral home deposit immediately and you are unsure what is normal,351,334,,,
290,you are asked to pay for a work purchase with your own money,652,970,,,
291,you are asked to pay for training or equipment before starting a new job,105,875,,,
292,you are asked to provide a DNA sample to help identify a person who died,267,66,,,
293,you are asked to provide a photo and life summary for a funeral or memorial on a tight deadline,301,300,,,
294,"you are asked to provide fingerprints, a DNA sample, or other identification for a case",285,190,,,
295,you are asked to return medical equipment or medications after a death,63,687,,,
296,you are asked to send passport or ID scans over an insecure channel urgently,688,629,,,
297,you are asked to share your work login details or approve an unexpected multi-factor prompt,555,468,,,
298,you are asked to show proof of an airport departure fee or tax and cannot find a receipt,260,466,,,
299,you are asked to sign paperwork after a death and you do not understand it,75,661,,,
300,you are asked to speak at a funeral or memorial service but feel unable to do it,293,301,,,
301,you are asked to write an obituary or public notice and you are not ready,272,293,,,
302,you are being pressured for funeral details before you are ready to share them,185,328,,,
303,you are being pressured to authorize a cremation or burial by a fixed date,274,335,,,
304,you are being targeted or bullied in a hostile work group chat,31,178,,,
305,you are billed for a subscription you cancelled and the company will not reverse the charge,53,168,,,
306,you are charged for an old negative balance you believed was settled,27,585,,,
307,you are considering a medical or forensic exam after a suspected sexual assault and feel overwhelmed,308,215,,,
308,you are considering reporting a sexual assault and feel overwhelmed or unsure what to do first,307,208,,,
309,you are contacted about workplace benefits after someone has died and a deadline is approaching,355,539,,,
310,you are contacted by a child protection or welfare agency asking to speak with you urgently,365,618,,,
311,you are contacted by a detention facility claiming someone listed you as their emergency contact,647,229,,,
312,you are contacted by a regulator about possible violations and are unsure how to respond,61,313,,,
313,you are contacted by an external investigator or lawyer about your workplace and are unsure what to share,275,586,,,
314,you are contacted by police about a missing person and asked to meet urgently,80,199,,,
315,you are coordinating a hospital to hospice transfer and information is missing,63,67,,,
316,you are copied into an internal email about you that suggests misconduct or dismissal,346,589,,,
317,you are coughing or having trouble breathing after inhaling strong cleaning fumes indoors,416,401,,,
318,you are facing conflict over an ex-partner attending a funeral or memorial service,429,538,,,
319,you are in a rideshare or taxi and the route changes in a way that worries you,114,115,,,
320,you are instructed to do work that requires a certification or license you do not have,912,830,,,
321,you are locked out of a storage unit or safe deposit box due to unpaid fees,442,587,,,
322,you are locked out of an account because you cannot complete a verification step,388,525,,,
323,you are locked out of your email or cloud storage while traveling,897,388,,,
324,you are locked out of your home in urgent weather or at night,70,141,,,
325,you are locked out of your payroll or HR system before a deadline,527,890,,,
326,you are on blood thinners and develop a new headache or unexplained bruising,481,561,,,
327,you are ordered to surrender firearms or other regulated items,154,583,,,
328,you are overwhelmed by a flood of messages about a death in your family,185,302,,,
329,you are placed on a performance improvement plan unexpectedly,589,424,,,
330,you are placed on paid leave during your notice period with no clear explanation,356,821,,,
331,you are pregnant and notice a sudden severe headache or vision changes,464,478,,,
332,you are presented with a new non-compete or restrictive covenant after you resign,592,593,,,
333,you are pressured to accept a plea offer or case resolution with a short deadline,472,583,,,
334,you are pressured to book a funeral date and key relatives cannot attend,358,84,,,
335,you are pressured to choose between burial and cremation and feel unsure,303,274,,,
336,you are pressured to meet privately after reporting sexual harassment and you feel unsafe,178,353,,,
337,you are refused entry at a border and are waiting in a controlled area,708,384,,,
338,you are removed from a client account and the client asks what happened,54,524,,,
339,you are sent explicit content that appears to involve someone who may be underage and you feel panicked,209,449,,,
340,you are served papers naming you as a witness and you are worried about retaliation,627,475,,,
341,you are served with a no-contact order or official communication restriction,601,342,,,
342,you are served with a restraining or protective order and need to understand immediate restrictions,341,601,,,
343,you are stopped at an airport or border because your appearance has changed since your passport photo was taken,887,884,,,
344,you are stopped for a document check abroad and do not have your passport with you,521,575,,,
345,you are suddenly moved to a different team or manager after a conflict at work,424,316,,,
346,you are suspended from work pending an investigation,589,356,,,
347,you are threatened with legal action over a mistake made at work,592,313,,,
348,you are told a critically ill relative must be transferred to another hospital quickly,315,241,,,
349,you are told a loved one is likely to die within days and need to alert family,541,543,,,
350,you are told a loved one’s remains are being transferred and you are unsure who is coordinating it,625,656,,,
351,you are told a prepaid funeral plan exists but cannot find the provider details,289,57,,,
352,you are told a relative died in custody and you need to confirm the details,198,360,,,
353,you are told a work complaint must be handled informally and you are uncomfortable with that,336,178,,,
354,you are told at the gate your carry-on must be checked but it contains essentials you need to keep,769,924,,,
355,you are told life insurance paperwork is urgent but you cannot find the policy,309,264,,,
356,you are told not to contact certain colleagues while a workplace matter is being reviewed,346,275,,,
357,you are told the police have been trying to reach you but you have received nothing,639,187,,,
358,you are told there are no available funeral service slots and must decide whether to delay,334,84,,,
359,you are told there is no step-free boarding and you need an alternative plan,239,126,,,
360,you are told there will be an inquest or hearing and you do not know what to expect,39,243,,,
361,you are told to report to your probation or supervision office on short notice,385,651,,,
362,you are told to start working on-call immediately without prior agreement,820,971,,,
363,you are told to surrender your passport or travel documents due to a legal order,364,715,,,
364,you are told you cannot leave the area due to an investigation and have travel plans,363,715,,,
365,you are told you must attend an appointment with an official caseworker within 24 hours,310,654,,,
366,you are told you must register your address locally and the deadline is very soon,263,261,,,
367,you are told you must submit to an official drug or alcohol test by a deadline and logistics are unclear,361,651,,,
368,you are told you must switch from employee to contractor status immediately,820,371,,,
369,you are told your background check has failed after you have already started your job,875,316,,,
370,you are told your communications are being monitored as part of an investigation,819,591,,,
371,you are told your company is being sold and your employment terms may change,820,818,,,
372,you are told your home is unsafe to occupy and you must leave immediately,3,451,,,
373,you are told your vehicle is flagged and you must attend an appointment to resolve it,646,611,,,
374,you are trapped at a parking exit because the barrier or gate will not open,951,12,,,
375,you are travelling with a pet and cannot access the required vaccination or microchip paperwork,893,708,,,
376,you are travelling with two passports and are unsure which one your booking is linked to,813,573,,,
377,you are unsure about letting a young child attend a funeral viewing or visitation,542,378,,,
378,you are unsure about viewing the body of a loved one and family members disagree,377,100,,,
379,"you are unsure which platform, stop, or bay to use because service updates conflict",940,572,,,
380,you are unsure who has legal authority to make medical decisions for a critically ill relative,287,64,,,
381,you are waiting for a body to be released and need to plan next steps,350,57,,,
382,you are worried a friend is in danger and they have suddenly stopped responding,80,314,,,
383,you cannot access cash from an ATM or cash machine,17,153,,,
384,you cannot access your travel documents or proof of trip purpose at the border,337,323,,,
385,you cannot attend your first required reporting appointment with an authority,361,651,,,
386,you cannot check into your accommodation because you do not have your ID with you,707,944,,,
387,you cannot find the identity documents you need for an official process,654,648,,,
388,you cannot find your account recovery or backup codes when you need to sign in,525,523,,,
389,you cannot join a remote court hearing because the link or instructions do not work,610,644,,,
390,you cannot pass urine and feel increasing discomfort,948,488,,,
391,you collect a rental vehicle and notice damage that is not on the handover record,110,109,,,
392,you cough up blood or see blood in your mucus,402,416,,,
393,you develop a fever that rises quickly and you feel unusually weak,410,470,,,
394,you develop a new painful blistering rash in a band on one side of your body,395,553,,,
395,you develop a new rash that is spreading quickly,553,554,,,
396,you develop a new severe headache shortly after giving birth,486,478,,,
397,you develop a new severe headache with nausea after a recent infection,471,458,,,
398,you develop a rapidly enlarging neck swelling that makes swallowing uncomfortable,480,435,,,
399,you develop a rapidly spreading red area with severe pain that seems out of proportion,564,502,,,
400,you develop a sudden high fever after returning from travel,393,410,,,
401,you develop a worsening cough or wheeze after breathing in smoke from a fire,416,317,,,
402,you develop new chest pain that gets worse when you breathe in,493,416,,,
403,you develop new confusion or severe drowsiness after taking a new medicine,681,577,,,
404,"you develop new severe thirst, frequent urination, and unexpected weight loss",737,845,,,
405,you develop new weakness in both legs or worsening trouble walking over a few hours,411,559,,,
406,you develop new yellowing of your eyes or skin that comes on quickly,932,500,,,
407,you develop pelvic pain with fever and unusual discharge,496,494,,,
408,you develop severe muscle cramps and feel overheated in hot weather,436,847,,,
409,you develop severe vomiting and diarrhea after eating foraged mushrooms or an unknown plant,696,703,,,
410,you develop shaking chills and feel suddenly much sicker than a typical viral illness,393,470,,,
411,you develop sudden back pain with new leg numbness or weakness,559,405,,,
412,you develop sudden double vision or have trouble focusing your eyes,565,478,,,
413,you develop sudden ringing in your ear with dizziness or nausea,414,686,,,
414,you develop sudden spinning dizziness and have to lie down,413,432,,,
415,you develop sudden testicular pain or swelling,548,491,,,
416,"you develop sudden, new shortness of breath",402,493,,,
417,"you develop sudden, wave-like flank pain that makes it hard to get comfortable",492,488,,,
418,you discover a funeral has been arranged by someone else without your knowledge or consent,100,303,,,
419,you discover a large hole or soft spot in an interior wall that seems to be expanding,91,186,,,
420,"you discover a tyre has a bulge, deep cut, or exposed cords and are unsure if it is safe to drive",136,947,,,
421,you discover an explicit deepfake image or video of yourself,599,571,,,
422,"you discover an official record has the wrong name, date of birth, or address",71,679,,,
423,you discover false or inaccurate information in your personnel file or HR record,316,424,,,
424,you discover rumours about your performance are being circulated at work,423,329,,,
425,you discover someone has saved intimate photos you sent them,689,224,,,
426,you discover someone has used your identity to apply for credit or open accounts,790,791,,,
427,you discover your backups have not been running for a long time,783,251,,,
428,you do not have the personal details needed to register a death,445,57,,,
429,you expect a volatile person may show up at a funeral or memorial service and you are worried about disruption,538,318,,,
430,you experience a pregnancy loss or newborn death and officials are asking for decisions,335,280,,,
431,"you experience sudden numbness or tingling in your face, arm, or leg that comes and goes",560,565,,,
432,you faint briefly and wake up feeling confused,549,847,,,
433,you feel a tingling sensation when touching a tap or metal appliance,672,506,,,
434,you feel faint and your heart races when you stand up,465,436,,,
